,eer_ignorant,eer_ignorant,eer_lazy-informed,eer_lazy-informed
,mean,std,mean,std
num_of_trials,,,,
1,27.726514432010568,0.7606082280915263,15.053058722258042,0.6491827382820522
2,26.74244094263089,0.7990515808006625,11.45559222542333,0.5137384883076496
3,26.46041083663415,0.7848111710545046,10.305805521232696,0.604577129669054
4,26.227681762017145,0.7680688528555455,9.36440389935868,0.6490006552566876
5,26.252489509911978,0.7338800296953372,8.853275353295993,0.5351796613179836
10,26.06686656862153,0.8252804334263071,8.118391085728076,0.5208611600598878
15,25.956473678693605,0.740383657243588,7.74610016485558,0.39618327829685995
20,25.867381782028517,0.7489129520451925,7.583366420918549,0.4782142709824189
25,25.827171630863248,0.745221183957709,7.589061720787365,0.48585472158876936
30,25.914389446701456,0.7626635902961334,7.359140591002503,0.49940832620620196
35,25.869163747018145,0.7229159977618977,7.382636482318521,0.40729275202971144
40,25.612376556837056,0.7258370979382486,7.4057670866937055,0.46280255156663835
45,25.874282397567978,0.6681124742366739,7.237554055623866,0.5037498277491095
50,25.71835363764035,0.7092042517037331,7.392344789136353,0.5126416942869002
